risk_score,category,domain,content_type,title_guess,url,file_path,document_id,text_length,source,extraction_method,parse_date,dei_keywords,proxy_keywords,binding_keywords,applicability_tags
2,Infrastructure noise,tinyurl.com,text/html; charset=utf-8,Default Board Post Page - Douglas Education Service District Skip To Main Content Close Menu Search Clear Search About Douglas ESD Board of Directors Contact Us,https://www.douglasesd.k12.or.us/about-douglas-esd/news/default-board-post-page/~board/news/post/american-education-week,research_results/documents/parsed/d99adba5f859153dc055e701f3b00cc8.txt,d99adba5f859153dc055e701f3b00cc8,10069,third_party:tinyurl.com,,,equity; accessibility; equitable,,mandatory; rule; policy; standard,hiring; training
2,Framework/influence,www.racialequityalliance.org,text/html; charset=utf-8,Seasons of Change: Reflections from Ithaca and the 2025 GARE Local Meeting Skip main navigation (Press Enter). Log in Toggle navigation Who We Are About Us Our ,https://www.racialequityalliance.org/blogs/gare-team/2025/12/09/ithaca-local-meeting,research_results/documents/parsed/1bb15fecc239f35d9ee2fc03e86de86b.txt,1bb15fecc239f35d9ee2fc03e86de86b,9213,third_party:www.racialequityalliance.org,,,equity; equitable; diversity,,policy; statewide,hiring; procurement; community engagement
2,Government/operations,www.hudexchange.info,text/html;charset=UTF-8,About - HUD Exchange Skip to main content NEED HOUSING ASSISTANCE? Email Updates Log In HUD Exchange Search Toggle navigation Search Form title Search Log In Pr,https://www.hudexchange.info/about/,research_results/documents/parsed/03f0b1ced9a67059ca7c1c803601a4f1.txt,03f0b1ced9a67059ca7c1c803601a4f1,8895,third_party:www.hudexchange.info,,,accessibility,,policy; regulation,hiring; procurement; training; housing
2,Other third-party,paycom.com,text/html; charset=UTF-8,Paycom Privacy Policies Skip to Main Content Client Employee Accountant Paycom® Logo Login careers investors contact Request meeting Our Solution Overview Payro,https://www.paycom.com/privacy/,research_results/documents/parsed/7c609bec3dc012696d3ba11191567f46.txt,7c609bec3dc012696d3ba11191567f46,8531,third_party:paycom.com,,,accessibility,,compliance; policy; standard,hiring; procurement; training; housing
2,Infrastructure noise,github.com,text/html; charset=utf-8,GitHub · Change is constant. GitHub keeps you ahead. · GitHub Skip to content Navigation Menu Toggle navigation Sign in Platform AI CODE CREATION GitHub Copilot,https://github.com/,research_results/documents/parsed/008ec4453ff31513f43893cba7aa31c8.txt,008ec4453ff31513f43893cba7aa31c8,8254,third_party:github.com,,,inclusion,,standard; required,training
2,Infrastructure noise,www.drupal.org,text/html; charset=UTF-8,Drupal.org | The Open Source CMS for Digital Innovation Skip to main content Can we use first and third party cookies and web beacons to understand our audience,https://new.drupal.org/home,research_results/documents/parsed/11f8c5e1123008295d7e64cc85216997.txt,11f8c5e1123008295d7e64cc85216997,8229,third_party:www.drupal.org,,,accessibility,,policy; standard; required,hiring; procurement; training; housing
2,Portal/login (context only),oregonbuys.gov,text/html;charset=UTF-8,OregonBuys - /view/login/login.xhtml skip to main content User ID Please enter the login id. Password Please enter the password. Forgot User ID Forgot Password ,https://oregonbuys.gov:443/bso/,research_results/documents/parsed/f6741790087ba13efcf09ff18aaee9d6.txt,f6741790087ba13efcf09ff18aaee9d6,7916,third_party:oregonbuys.gov,,,inclusion; diversity,,shall; contract; required,procurement; housing
2,Other third-party,www.colorlines.com,text/html; charset=UTF-8,Colorlines Skip to main content Search Donate Search Main menu About Us Our History Community Conversations Explainers Organizing Stories Published By Race Forw,https://colorlines.com/,research_results/documents/parsed/b03119e6b8cde2b7df224e42d8cdd827.txt,b03119e6b8cde2b7df224e42d8cdd827,7547,third_party:www.colorlines.com,,,equity; racial justice; inclusive; equitable,,must,training; housing
2,Government/operations,www.oregonmetro.gov,text/html; charset=UTF-8,"Racial equity and housing | Metro Skip to main content collapse all Events News and stories Tools and data Contact Language hub Metro logo, to the homepage Open",https://www.oregonmetro.gov/what-metro-does/housing-and-homelessness/affordable-housing-bond/racial-equity,research_results/documents/parsed/d1b57d035c043d274245fea7ac99f95a.txt,d1b57d035c043d274245fea7ac99f95a,7525,third_party:www.oregonmetro.gov,,,equity; diversity; underrepresented; accessibility; equitable; inclusion; people of color; minority,,policy; contract; must; regulation; binding; required,hiring; procurement; training; housing; community engagement
2,Framework/influence,raceforward.org,text/html; charset=UTF-8,"Cultural Week of Action on Race and Democracy | Race Forward Skip to main content Main navigation Learn About Us Our Story Our Mission, Vision, and Values Our S",https://www.raceforward.org/projects-programs-%26-initiatives/cultural-week-of-action,research_results/documents/parsed/4b919881b559c56832bdfb54da9e035e.txt,4b919881b559c56832bdfb54da9e035e,7187,third_party:raceforward.org,,,equity; inclusion; diversity; inclusive; racial justice,,policy,hiring; training; housing
2,Other third-party,www.charitynavigator.org,text/html;charset=utf-8,About Charity Navigator | Charity Navigator Sign in/Create an account Sign Out Nonprofit Resources Support Charity Navigator Discover Charities Best Charities A,https://www.charitynavigator.org/about-us,research_results/documents/parsed/173fee7c4d1bd41609fa6be5bfb8d359.txt,173fee7c4d1bd41609fa6be5bfb8d359,6660,third_party:www.charitynavigator.org,,,equity; inclusion; diversity,,policy,housing
2,Government/operations,www.hudexchange.info,text/html;charset=UTF-8,Homelessness Assistance Programs - HUD Exchange Skip to main content NEED HOUSING ASSISTANCE? Email Updates Log In HUD Exchange Search Toggle navigation Search ,https://www.hudexchange.info/homelessness-assistance/,research_results/documents/parsed/b8db36676c4c140396b695f791f8e0b9.txt,b8db36676c4c140396b695f791f8e0b9,6458,third_party:www.hudexchange.info,,,accessibility,,policy; standard; regulation,hiring; procurement; training; housing
2,Other third-party,www.osba.org,text/html; charset=UTF-8,You searched for {search_term_string - osba.org Search for: My OSBA / Login 1-800-578-OSBA Search for: My OSBA / Login My OSBA / Login 1-800-578-OSBA Search for,https://www.osba.org/?s=%7Bsearch_term_string,research_results/documents/parsed/a1550d1abc15f930d2e7861bcdf06840.txt,a1550d1abc15f930d2e7861bcdf06840,6177,third_party:www.osba.org,,,equity,,policy; required,hiring; procurement; training; housing; community engagement
