document_id,file_path,risk_score,dei_keywords,proxy_keywords,binding_keywords,applicability_tags,text_length
c6a05a0f4e6c2b828b90061d477fc6c0,research_results/documents/parsed/c6a05a0f4e6c2b828b90061d477fc6c0.txt,0,,,agreement; must,hiring; housing,41601
7b7181bf17f752fb48373c00df76923d,research_results/documents/parsed/7b7181bf17f752fb48373c00df76923d.txt,0,,,,hiring,1748
7a303e3155bc803621b77ec1cbf20929,research_results/documents/parsed/7a303e3155bc803621b77ec1cbf20929.txt,0,,,policy,hiring; procurement; training,3751
62e2d252e7db1124904d1653226c1fad,research_results/documents/parsed/62e2d252e7db1124904d1653226c1fad.txt,0,,,,hiring; housing,1310
2222a6aff44ac46ed8a3fa6f01a1c641,research_results/documents/parsed/2222a6aff44ac46ed8a3fa6f01a1c641.txt,0,,,must,housing,2997
eb99dab6339ad402904aefa560bb825a,research_results/documents/parsed/eb99dab6339ad402904aefa560bb825a.txt,0,,,policy,,2505
46b383e71dafa3dc6638d1628246acfe,research_results/documents/parsed/46b383e71dafa3dc6638d1628246acfe.txt,0,,,policy; required; must,procurement; training; housing,5071
ee4569fbadb3c86dfbd3633503f7fb16,research_results/documents/parsed/ee4569fbadb3c86dfbd3633503f7fb16.txt,0,,,policy; standard,hiring; training; housing,2797
022621fee8894629a4293f7bcd169817,research_results/documents/parsed/022621fee8894629a4293f7bcd169817.txt,0,,,policy; standard; required,hiring; procurement; training; housing,5187
de030a0d5975e90c1b9a84e6bf00f918,research_results/documents/parsed/de030a0d5975e90c1b9a84e6bf00f918.txt,0,,,policy; must,housing,62411
bb1b99d2e6de9e140eecf7895254af39,research_results/documents/parsed/bb1b99d2e6de9e140eecf7895254af39.txt,0,,,policy; required,procurement; training; housing,6006
3624845de3c2316d6c0dbf0f2893e487,research_results/documents/parsed/3624845de3c2316d6c0dbf0f2893e487.txt,0,,,policy; contract; shall; standard,procurement; training; housing,15904
814b27f4a4ddfd453a23e1887769f8c3,research_results/documents/parsed/814b27f4a4ddfd453a23e1887769f8c3.txt,0,,,policy,housing,6945
0626db2d35dc593351e86353787f097c,research_results/documents/parsed/0626db2d35dc593351e86353787f097c.txt,0,,,required; must,housing,4397
c00f38fd109cfc85436d597003a69b2a,research_results/documents/parsed/c00f38fd109cfc85436d597003a69b2a.txt,0,,,policy,procurement; training,2763
8325d951675fa2cd11a50e5f4336a038,research_results/documents/parsed/8325d951675fa2cd11a50e5f4336a038.txt,0,,,,training,2392
74cccdd8ca38bd843ce2fcc0061f3c8d,research_results/documents/parsed/74cccdd8ca38bd843ce2fcc0061f3c8d.txt,0,,,,housing,1464
1ae75bfed2ac7bf8303889da12a31036,research_results/documents/parsed/1ae75bfed2ac7bf8303889da12a31036.txt,0,,,,,12784
a627326f8652982104a660d689f01aa9,research_results/documents/parsed/a627326f8652982104a660d689f01aa9.txt,0,,,,training,1353
299048dd9e792f786bd209f6a853333c,research_results/documents/parsed/299048dd9e792f786bd209f6a853333c.txt,0,,,policy,procurement; training,1913
48fe88b3a030743ae5a065b7299e9ecf,research_results/documents/parsed/48fe88b3a030743ae5a065b7299e9ecf.txt,0,,,must,housing,3410
a6118b290fad4b795a070b61557b3182,research_results/documents/parsed/a6118b290fad4b795a070b61557b3182.txt,0,,,,,1200
29e330b6d69e896317cdab57e02306a2,research_results/documents/parsed/29e330b6d69e896317cdab57e02306a2.txt,0,,,required,housing,2334
2200e43a2542909f881e1d251c2ff5f3,research_results/documents/parsed/2200e43a2542909f881e1d251c2ff5f3.txt,0,,,,hiring,6075
45066aa6b5650f5656f636cc2de68968,research_results/documents/parsed/45066aa6b5650f5656f636cc2de68968.txt,0,,,,housing,170
9c5b986feef96c0eff29c2fb4d2f4aeb,research_results/documents/parsed/9c5b986feef96c0eff29c2fb4d2f4aeb.txt,0,,,policy,training,205
ac30190796032716b09079d00eb63ec3,research_results/documents/parsed/ac30190796032716b09079d00eb63ec3.txt,0,,,,housing,170
a11f4770e29e1aa6db299b300fe149aa,research_results/documents/parsed/a11f4770e29e1aa6db299b300fe149aa.txt,0,,,standard,procurement,1352
ff90821feeb2b02a33a6f9fc8e5f3fcd,research_results/documents/parsed/ff90821feeb2b02a33a6f9fc8e5f3fcd.txt,0,,,,,278
d75277cdffef995a46ae59bdaef1db86,research_results/documents/parsed/d75277cdffef995a46ae59bdaef1db86.txt,0,,,,,278
796a28669db69fd98e103d94cbfc3d73,research_results/documents/parsed/796a28669db69fd98e103d94cbfc3d73.txt,0,,,,,1201
54566d91dba9e78922e9974ab72e0edd,research_results/documents/parsed/54566d91dba9e78922e9974ab72e0edd.txt,0,,,policy,training; housing,2045
abfdabfdf149edb5964b1052cde07d4b,research_results/documents/parsed/abfdabfdf149edb5964b1052cde07d4b.txt,0,,,,,443
7b3e4cf8d5330e4f28f189381dfd8776,research_results/documents/parsed/7b3e4cf8d5330e4f28f189381dfd8776.txt,0,,,policy,,2505
60836bb392b2f12f39e28102c4ae36fa,research_results/documents/parsed/60836bb392b2f12f39e28102c4ae36fa.txt,0,,,,housing,5840
9e84d57a57ab78f6a7b6d656f90c2485,research_results/documents/parsed/9e84d57a57ab78f6a7b6d656f90c2485.txt,0,,,,,20791
1077d8833cbf55cbff6be0b319b5f995,research_results/documents/parsed/1077d8833cbf55cbff6be0b319b5f995.txt,0,,,,,327
bd21594fde83a117cb3536cf0d64f4ec,research_results/documents/parsed/bd21594fde83a117cb3536cf0d64f4ec.txt,0,,,policy; standard; agreement; must,hiring; procurement; housing,16781
20dbf5594df31c18d255f26622a5b899,research_results/documents/parsed/20dbf5594df31c18d255f26622a5b899.txt,0,,,required,hiring; training,7976
92a1ba04f1c1df106306c0772aedc362,research_results/documents/parsed/92a1ba04f1c1df106306c0772aedc362.txt,0,,,required; must,procurement; training; housing,27360
dfb92c0fbce43f49713c9bdee73a921b,research_results/documents/parsed/dfb92c0fbce43f49713c9bdee73a921b.txt,0,,,,housing,644
73a13e832e4c3a43e78c16e65bb446e2,research_results/documents/parsed/73a13e832e4c3a43e78c16e65bb446e2.txt,0,,,,,52486
ba6fbaa916d44f6b08f4195c3bb6104b,research_results/documents/parsed/ba6fbaa916d44f6b08f4195c3bb6104b.txt,0,,,standard,,1070
d4019521ed7005fe301d668e732fa749,research_results/documents/parsed/d4019521ed7005fe301d668e732fa749.txt,0,,,,training,850
24dcb622c57bda6457f4f83cc0c1480c,research_results/documents/parsed/24dcb622c57bda6457f4f83cc0c1480c.txt,0,,,,hiring,1275
12620e5adbdb6984d21cd280fc0d0850,research_results/documents/parsed/12620e5adbdb6984d21cd280fc0d0850.txt,0,,,,housing,4866
ce61429f7a2184a4678907a98c463d66,research_results/documents/parsed/ce61429f7a2184a4678907a98c463d66.txt,0,,,,hiring; housing,3077
fcab1ae542d5995634e90db77b45681a,research_results/documents/parsed/fcab1ae542d5995634e90db77b45681a.txt,0,,,,procurement,85242
8c21469e1d654a8bbc0bf84492c7aa71,research_results/documents/parsed/8c21469e1d654a8bbc0bf84492c7aa71.txt,0,,,policy,housing,15740
bcb680272f5d9ea076d621ded3061763,research_results/documents/parsed/bcb680272f5d9ea076d621ded3061763.txt,0,,,,,1617
307c33a3609468c1998ad428c5063505,research_results/documents/parsed/307c33a3609468c1998ad428c5063505.txt,0,,,policy,procurement; training; housing,3465
a6bf1757fff057f266b697df9cf176fd,research_results/documents/parsed/a6bf1757fff057f266b697df9cf176fd.txt,0,,,,,142
